Archivo,SOC_INIT,SOC_END,DIF_SOC,POWER_CONSUMED,DISTANCIA,DURACION
Ride_1.csv,21.8513,22.0118,-0.1605,-80.0,0.0,0:01:34
Ride_10.csv,39.6588,39.5568,0.102,0.0,0.072,0:01:51
Ride_100.csv,53.0911,35.1072,17.9839,3920.0,17.138,0:44:39
Ride_101.csv,62.0617,53.2632,8.7985,1840.0,7.483,0:35:23
Ride_102.csv,44.0433,40.4309,3.6124,640.0,6.794,0:11:18
Ride_103.csv,51.1881,46.2612,4.9269,1040.0,10.169,0:24:22
Ride_104.csv,34.7013,33.3812,1.3201,320.0,3.972,0:09:19
Ride_105.csv,67.8934,67.6093,0.2841,0.0,3.84,0:09:04
Ride_106.csv,67.2693,50.6493,16.62,3600.0,10.334,0:50:16
Ride_107.csv,39.5877,37.4286,2.1591,400.0,5.855,0:15:29
Ride_108.csv,78.6089,78.0295,0.5794,80.0,3.798,0:08:01
Ride_109.csv,77.9486,74.4352,3.5134,720.0,2.576,0:04:22
Ride_11.csv,39.4375,39.4375,0.0,0.0,0.041,0:03:18
Ride_110.csv,74.3685,72.4102,1.9583,320.0,1.289,0:04:03
Ride_111.csv,71.7431,69.7246,2.0185,480.0,3.447,0:05:11
Ride_112.csv,61.3461,62.3583,-1.0122,-320.0,3.779,0:10:45
Ride_113.csv,62.0141,60.032,1.9821,480.0,2.769,0:44:40
Ride_114.csv,58.1902,58.1794,0.0108,0.0,0.0,0:00:13
Ride_115.csv,51.7683,50.8134,0.9549,160.0,9288.026,0:12:43
Ride_116.csv,50.7337,48.4252,2.3085,480.0,2.14,0:07:47
Ride_117.csv,48.3021,40.018,8.2841,1760.0,2.63,0:07:23
Ride_118.csv,39.7001,39.7001,0.0,0.0,0.0,0:00:02
Ride_119.csv,43.6936,44.9406,-1.247,-400.0,4.387,0:11:07
Ride_12.csv,18.8994,18.563,0.3364,80.0,0.226,0:04:31
